age,gender,profiles,cases,score,Output
33,Female,9,0,4.1,6
65,Male,9,0,4.1,6
59,Female,9,0,4.1,6
33,Female,10,6,4.1,6
65,Male,10,6,4.1,6
59,Female,10,6,4.1,6
33,Female,11,17,4.1,6
33,Female,11,14,4.1,3
65,Male,11,17,4.1,6
65,Male,11,14,4.1,3
59,Female,11,17,4.1,6
59,Female,11,14,4.1,3
,Female,1,0,4,6
28,Female,1,0,4,6
50,Female,1,0,4,6
30,Female,1,0,4,6
31,Male,1,0,4,6
55,Female,1,0,4,6
,Female,2,1,4,3
28,Female,2,1,4,3
50,Female,2,1,4,3
30,Female,2,1,4,3
31,Male,2,1,4,3
55,Female,2,1,4,3
45,Male,7,0,5,6
50,Male,7,0,5,6
43,Female,7,0,5,6
,Female,7,0,5,6
16,Male,7,0,5,6
45,Male,8,6,5,6
45,Male,8,3,5,3
50,Male,8,6,5,6
50,Male,8,3,5,3
43,Female,8,6,5,6
43,Female,8,3,5,3
,Female,8,6,5,6
,Female,8,3,5,3
16,Male,8,6,5,6
16,Male,8,3,5,3
69,Female,8,12,5,3
12,Female,8,12,5,3
43,Female,8,12,5,3
,Female,8,12,5,3
27,Male,3,0,,6
27,Female,3,0,,6
19,Female,1,0,,6
13,Male,5,0,5,6
,Male,5,0,5,6
43,Male,5,0,5,6
,Female,5,0,5,6
35,Female,5,0,5,6
,,2,0,,6
65,Female,6,0,4.2,6
70,Male,6,0,4.2,6
12,Male,6,0,4.2,6
40,Female,6,0,4.2,6
,Female,6,0,4.2,6
42,Male,6,0,4.2,6
38,Male,4,0,,6
,Female,4,0,,6
26,Male,7,15,4.4,3
26,Male,7,4,4.4,6
26,Male,7,0,4.4,6
55,Male,7,15,4.4,3
55,Male,7,4,4.4,6
55,Male,7,0,4.4,6
26,Female,7,15,4.4,3
26,Female,7,4,4.4,6
26,Female,7,0,4.4,6
21,Female,7,15,4.4,3
21,Female,7,4,4.4,6
21,Female,7,0,4.4,6
52,Female,7,15,4.4,3
52,Female,7,4,4.4,6
52,Female,7,0,4.4,6
52,,7,15,4.4,3
52,,7,4,4.4,6
52,,7,0,4.4,6
20,Female,2,0,5,3
25,Male,2,0,5,3
33,Male,2,0,5,3
26,,2,0,5,3
20,Female,3,13,5,1
25,Male,3,13,5,1
33,Male,3,13,5,1
26,,3,13,5,1
40,Male,1,0,,1
40,Male,1,0,,6
34,Male,7,0,5,6
28,Female,7,0,5,6
34,Male,4,0,,6
34,Male,5,1,,3
,Female,4,1,5,6
33,Female,4,1,5,6
33,Male,4,1,5,6
37,Male,3,0,5,6
,Male,3,0,5,6
66,Female,3,0,5,6
74,Female,3,0,5,6
38,Male,3,0,5,6
37,Male,13,5,5,1
,Male,13,5,5,1
66,Female,13,5,5,1
74,Female,13,5,5,1
38,Male,13,5,5,1
,Male,4,5,,3
33,Female,4,5,,3
15,Male,3,1,,1
11,Female,3,1,,1
39,Female,3,0,5,6
40,Male,3,0,5,6
,Female,3,0,5,6
39,Female,5,3,5,1
40,Male,5,3,5,1
,Female,5,3,5,1
,,3,0,,6
34,Male,4,0,,1
,Female,2,0,,1
,,1,0,,6
31,Male,4,1,4,3
31,Male,5,1,4,1
31,Male,3,0,2.7,6
30,Female,3,0,2.7,6
13,Male,4,5,4.8,6
13,Male,4,0,4.8,6
42,Male,4,5,4.8,6
42,Male,4,0,4.8,6
42,Female,4,5,4.8,6
42,Female,4,0,4.8,6
13,Male,5,14,4.8,3
42,Male,5,14,4.8,3
42,Female,5,14,4.8,3
52,Female,2,0,,6
26,Female,3,0,4.5,6
33,Male,3,0,4.5,6
47,Female,3,0,4.5,6
,Female,3,0,4,6
11,Male,3,0,4,6
64,Female,3,0,4,6
70,Male,3,0,4,6
11,Female,3,0,4,6
,Female,5,10,4,3
11,Male,5,10,4,3
64,Female,5,10,4,3
70,Male,5,10,4,3
11,Female,5,10,4,3
,Female,6,16,4,3
11,Male,6,16,4,3
64,Female,6,16,4,3
70,Male,6,16,4,3
11,Female,6,16,4,3
36,Female,1,0,4,6
36,Female,2,5,4,3
36,Female,2,4,4,3
40,Female,2,2,5,3
42,Male,2,2,5,3
,Female,2,2,5,3
42,Male,2,0,,6
26,Male,1,0,5,6
22,Male,1,0,5,6
58,Male,1,0,5,6
49,Female,1,0,5,6
28,Female,1,0,5,6
77,Female,1,0,5,6
26,Male,3,2,5,6
26,Male,3,1,5,3
22,Male,3,2,5,6
58,Male,3,2,5,6
22,Male,3,1,5,3
58,Male,3,1,5,3
49,Female,3,2,5,6
28,Female,3,2,5,6
49,Female,3,1,5,3
28,Female,3,1,5,3
77,Female,3,2,5,6
77,Female,3,1,5,3
24,Female,2,0,,1
40,Female,1,0,,1
42,Male,1,0,,1
34,Male,3,0,5,6
55,Male,5,0,,1
,Female,3,0,,1
35,Female,2,0,,1
36,Male,2,0,,1
60,Female,2,0,,1
31,Male,1,0,5,3
61,Female,1,0,5,3
62,Male,1,0,5,3
31,Male,3,12,5,3
61,Female,3,12,5,3
62,Male,3,12,5,3
32,Female,2,1,,3
,Male,2,1,,3
59,Female,2,1,,1
31,Male,2,1,,1
28,Female,2,5,4.5,1
33,Male,2,0,,1
77,Female,2,0,,1
,Male,2,0,,1
26,Male,3,2,,3
28,Female,3,2,,3
25,Female,3,0,,1
48,Male,3,0,,1
34,Male,1,0,,1
26,Female,1,0,,1
56,Female,1,0,,1
,,5,0,,6
,,2,0,,1
57,Female,3,0,,1
,Male,3,0,,1
36,Male,4,4,,1
39,Female,4,4,,1
12,Male,4,4,,1
21,Female,2,0,5,1
25,Female,1,1,,1
27,Male,1,1,,1
21,Male,3,0,,1
33,Female,2,3,2.5,3
,,8,0,,6
39,Male,2,1,3,6
33,Female,2,1,3,6
72,Male,1,2,5,6
72,Male,1,0,5,3
30,Female,3,4,4.5,1
27,Male,3,4,4.5,1
,Male,4,8,5,3
36,Male,4,8,5,3
33,Male,4,8,5,3
55,Male,4,8,5,3
31,Female,4,8,5,3
44,Female,3,0,5,6
47,Male,3,0,5,6
69,Female,3,0,5,6
15,Male,3,0,5,6
44,Female,7,11,5,3
47,Male,7,11,5,3
,Female,7,11,5,3
69,Female,7,11,5,3
15,Male,7,11,5,3
29,Female,1,0,,6
30,Male,1,0,,6
29,Male,1,0,5,3
36,Male,3,0,3.3,3
38,Female,3,0,3.3,3
65,Male,6,4,,1
54,Female,6,4,,1
31,Male,6,4,,1
22,Female,6,4,,1
29,Female,6,4,,1
,Male,3,1,,1
44,Female,3,1,,1
27,Female,2,2,5,1
33,Female,2,2,5,1
33,Male,2,2,5,1
83,Female,3,0,,6
46,Female,3,0,,6
52,Male,3,0,,6
78,Female,3,0,,6
20,Male,3,0,,6
83,Female,6,12,,1
83,Female,6,2,,3
46,Female,6,12,,1
46,Female,6,2,,3
52,Male,6,12,,1
52,Male,6,2,,3
78,Female,6,12,,1
78,Female,6,2,,3
20,Male,6,12,,1
20,Male,6,2,,3
30,Female,1,0,,1
31,Male,2,12,5,1
28,Male,1,0,4,6
30,Male,2,0,,1
30,Male,1,0,,1
32,Female,2,0,,6
29,Male,1,0,,3
27,Male,2,0,5,3
,,1,0,,3
27,Male,1,1,4,1
26,Female,1,1,4,1
25,Female,1,1,4,1
69,Male,3,3,5,1
35,Female,3,3,5,1
69,Male,3,1,,1
26,Female,3,1,,1
80,Male,3,1,,1
55,Female,3,1,,1
27,Female,1,0,5,6
28,Male,1,0,5,6
17,Female,1,0,5,6
35,Male,1,0,,1
28,Male,7,0,,6
27,Female,7,0,,6
31,Female,3,0,4,6
26,Female,3,0,4,6
28,Female,3,0,4,6
27,Female,3,0,4,6
31,Female,5,9,4,1
26,Female,5,9,4,1
31,Female,5,6,4,3
26,Female,5,6,4,3
28,Female,5,9,4,1
28,Female,5,6,4,3
27,Female,5,9,4,1
27,Female,5,6,4,3
35,Male,1,1,5,1
43,Male,2,0,,6
25,Male,2,0,,1
24,Female,1,1,4,6
,Female,1,1,4,6
22,Male,1,1,4,6
45,Female,1,1,4,6
31,Male,1,1,4,6
51,Female,1,1,4,6
25,Male,1,1,4,6
24,Female,5,33,4,3
,Female,5,33,4,3
22,Male,5,33,4,3
45,Female,5,33,4,3
31,Male,5,33,4,3
51,Female,5,33,4,3
25,Male,5,33,4,3
24,Female,7,39,4,6
,Female,7,39,4,6
22,Male,7,39,4,6
45,Female,7,39,4,6
31,Male,7,39,4,6
51,Female,7,39,4,6
25,Male,7,39,4,6
32,Male,4,3,5,1
65,Male,5,0,5,6
31,Female,5,0,5,6
57,Male,5,0,5,6
30,Male,5,0,5,6
78,Female,5,0,5,6
55,Female,5,0,5,6
,Male,8,14,5,3
65,Male,8,14,5,3
31,Female,8,14,5,3
57,Male,8,14,5,3
30,Male,8,14,5,3
78,Female,8,14,5,3
55,Female,8,14,5,3
31,Male,2,0,5,6
,Female,4,22,5,3
,Female,4,12,5,3
,Female,4,4,5,3
73,Male,4,22,5,3
73,Male,4,12,5,3
73,Male,4,4,5,3
43,Male,4,22,5,3
43,Male,4,12,5,3
43,Male,4,4,5,3
35,Female,4,22,5,3
35,Female,4,12,5,3
35,Female,4,4,5,3
29,Female,2,3,5,3
28,Male,2,3,5,3
23,Female,4,4,5,3
41,Male,1,1,5,3
28,Male,1,0,,1
,Female,2,0,4,6
38,Female,2,0,4,6
33,Female,5,1,,3
59,Female,5,1,,3
67,Female,3,3,5,1
29,Male,3,3,5,1
31,Female,3,3,5,1
42,Male,4,0,,1
34,Female,4,0,,1
29,Male,2,0,,1
54,Female,2,0,,1
30,Female,2,0,,3
52,Male,2,0,,1
67,Female,2,0,,1
41,Male,2,0,4.8,3
,Male,2,0,4.8,3
41,Male,3,6,4.8,3
,Male,3,6,4.8,3
27,Female,1,0,5,3
29,Female,3,0,,1
33,Male,3,0,,1
31,Female,4,0,,1
33,Male,4,0,,1
40,Male,4,2,5,6
34,Male,4,2,5,6
65,Female,4,2,5,6
,,4,0,,1
,Male,6,3,3.9,3
39,Male,6,3,3.9,3
35,Female,6,3,3.9,3
63,Female,6,3,3.9,3
41,Male,2,1,,1
41,Female,2,1,,1
,Female,4,36,4.2,3
,Female,4,24,4.2,3
,Female,4,1,4.2,3
30,Male,4,36,4.2,3
30,Male,4,24,4.2,3
30,Male,4,1,4.2,3
30,Female,4,36,4.2,3
30,Female,4,24,4.2,3
30,Female,4,1,4.2,3
57,Male,4,36,4.2,3
53,Female,4,36,4.2,3
57,Male,4,24,4.2,3
53,Female,4,24,4.2,3
57,Male,4,1,4.2,3
53,Female,4,1,4.2,3
,Male,4,36,4.2,3
,Male,4,24,4.2,3
,Male,4,1,4.2,3
29,Female,6,0,,1
,Male,3,0,4.3,6
35,Female,3,0,4.3,6
36,Male,3,0,4.3,6
38,Male,3,0,4.3,6
58,Female,3,0,4.3,6
,Male,4,13,4.3,6
35,Female,4,13,4.3,6
36,Male,4,13,4.3,6
38,Male,4,13,4.3,6
58,Female,4,13,4.3,6
30,Female,4,2,,1
50,,4,2,,1
,Male,3,0,3.3,6
12,Male,3,0,3.3,6
20,Female,3,0,3.3,6
51,Female,3,0,3.3,6
33,Male,3,0,3.3,6
57,Female,3,0,3.3,6
28,Female,3,0,3.3,6
13,Female,3,0,3.3,6
22,Male,3,0,3.3,6
,Male,13,47,3.3,1
12,Male,13,47,3.3,1
20,Female,13,47,3.3,1
51,Female,13,47,3.3,1
33,Male,13,47,3.3,1
57,Female,13,47,3.3,1
28,Female,13,47,3.3,1
13,Female,13,47,3.3,1
22,Male,13,47,3.3,1
30,Female,1,0,5,6
,Female,1,0,5,6
66,Male,1,0,5,6
31,Male,1,0,5,6
,Male,1,0,5,6
30,Female,16,8,5,3
,Female,16,8,5,3
66,Male,16,8,5,3
31,Male,16,8,5,3
,Male,16,8,5,3
30,Female,17,16,5,6
,Female,17,16,5,6
66,Male,17,16,5,6
31,Male,17,16,5,6
,Male,17,16,5,6
46,Female,1,0,,1
19,Male,1,0,,1
22,Female,1,0,,1
24,Male,1,0,,1
28,Female,2,0,,1
83,Female,3,2,5,3
37,Female,3,2,5,3
84,Male,3,2,5,3
43,Male,3,2,5,3
83,Female,4,11,5,6
37,Female,4,11,5,6
84,Male,4,11,5,6
43,Male,4,11,5,6
17,Male,1,2,4.7,3
46,Female,1,2,4.7,3
47,Male,1,2,4.7,3
42,Male,1,0,5,6
33,Male,4,5,4.3,1
,Male,4,5,4.3,1
30,Female,4,5,4.3,1
32,Female,3,0,,1
65,Male,3,0,,1
25,Male,3,0,,1
24,Male,3,0,,1
48,Female,3,0,,1
28,Male,3,0,,1
64,Male,3,0,,1
45,Male,1,0,5,1
47,Male,1,0,5,1
23,Female,1,0,5,1
23,Male,1,0,5,1
32,Male,2,1,,3
33,Female,2,1,,3
33,Female,3,0,4,6
34,Male,3,0,4,6
33,Female,4,4,4,1
34,Male,4,4,4,1
,Female,4,4,4,1
49,Female,3,0,5,6
54,Female,3,0,5,6
28,Female,3,0,5,6
,Male,2,0,5,1
26,Male,2,0,5,1
27,Female,2,0,5,1
31,Male,2,1,5,1
30,Female,2,1,5,1
31,Male,1,1,5,3
27,Female,3,2,,3
32,Male,3,2,,3
27,Male,1,0,4.5,6
27,Male,4,7,4.5,3
41,Female,3,0,5,6
42,Male,3,0,5,6
30,Female,3,0,5,6
14,Male,3,0,5,6
41,Female,8,9,5,1
42,Male,8,9,5,1
66,Female,8,9,5,1
30,Female,8,9,5,1
14,Male,8,9,5,1
30,Male,3,0,1,6
50,Male,3,0,1,6
28,Female,3,0,1,6
43,Male,2,1,,3
75,Male,2,1,,3
53,Male,2,1,,3
50,Female,2,1,,3
35,Male,2,1,,3
,Female,1,0,,6
28,Female,3,1,,1
60,Female,3,1,,1
66,Male,2,0,5,6
35,Male,2,0,5,6
28,Female,1,0,5,3
28,Male,1,0,5,3
27,Female,2,4,5,1
28,Female,2,4,5,1
28,Male,2,4,5,1
25,Male,1,0,5,6
67,Male,2,0,,6
36,Female,3,0,,1
25,Female,2,0,,1
40,Female,3,0,3.3,6
42,Female,3,0,3.3,6
43,Male,3,0,3.3,6
40,Female,5,5,3.3,3
13,Female,5,5,3.3,3
,Male,5,5,3.3,3
42,Female,5,5,3.3,3
43,Male,5,5,3.3,3
40,Female,7,15,3.3,1
13,Female,7,15,3.3,1
,Male,7,15,3.3,1
42,Female,7,15,3.3,1
43,Male,7,15,3.3,1
,Male,1,0,,6
79,Male,3,2,5,1
28,Male,3,2,5,1
35,Female,1,1,,1
33,Female,2,0,,6
31,Female,1,0,,1
43,Male,1,2,5,1
43,Male,1,1,5,3
32,Female,1,4,4,1
29,Male,1,1,1,1
50,Female,1,1,1,1
22,Male,1,1,1,1
22,Female,1,1,1,1
42,Male,4,0,,6
,Female,4,3,,3
36,Male,4,3,,3
35,Female,4,3,,3
50,Female,3,2,5,1
50,Female,3,1,5,3
,Male,1,1,,3
41,Male,1,1,,3
36,Female,1,0,5,1
,Female,2,1,,3
40,Male,2,1,,3
38,Female,2,1,,3
29,Male,1,0,4.3,6
65,Male,1,0,4.3,6
54,Male,1,0,4.3,6
,Male,1,0,4.3,6
28,Female,1,0,4.3,6
55,Female,1,0,4.3,6
29,Male,3,8,4.3,6
65,Male,3,8,4.3,6
54,Male,3,8,4.3,6
,Male,3,8,4.3,6
28,Female,3,8,4.3,6
55,Female,3,8,4.3,6
29,Male,4,27,4.3,6
65,Male,4,27,4.3,6
54,Male,4,27,4.3,6
,Male,4,27,4.3,6
28,Female,4,27,4.3,6
55,Female,4,27,4.3,6
33,Female,2,0,3.7,3
74,Male,2,0,3.7,3
67,Male,2,0,3.7,3
53,Female,2,0,3.7,3
33,Male,2,0,3.7,3
,Male,2,0,3.7,3
33,Female,9,9,3.7,1
74,Male,9,9,3.7,1
67,Male,9,9,3.7,1
53,Female,9,9,3.7,1
33,Male,9,9,3.7,1
,Male,9,9,3.7,1
37,Female,2,1,,3
28,Male,1,0,,6
34,Female,1,0,5,6
34,Female,2,1,,1
40,Male,2,1,,1
22,Male,2,0,,1
48,Female,2,0,,1
34,Male,3,3,4.6,6
29,Female,3,3,4.6,6
36,Male,3,3,4.6,6
35,Female,2,0,2,1
38,Male,2,0,2,1
31,Male,1,0,4,3
30,Male,2,0,5,6
24,Female,2,0,5,6
54,Female,1,0,2.7,6
33,Male,1,0,2.7,6
32,Male,2,0,,1
27,Male,2,0,,1
14,Male,2,0,3,3
60,Female,5,3,,3
42,Male,5,3,,3
36,Female,5,3,,3
63,Male,5,3,,3
13,Male,5,3,,3
23,Female,1,1,,1
78,Female,2,0,,1
25,Female,3,1,,1
50,Male,3,1,,1
27,Female,1,0,3.5,6
28,Female,1,0,3.5,6
23,Female,2,0,3.5,6
28,Female,2,0,3.5,6
22,Male,1,1,,1
55,Male,1,1,,1
,Male,4,0,,3
32,Male,4,0,,3
30,Female,4,0,,3
67,Male,1,0,5,6
37,Female,1,0,5,6
55,Female,1,0,5,6
67,Male,1,0,4.2,6
,Female,1,0,4.2,6
29,Female,1,0,4.2,6
35,Male,1,0,4.2,6
30,Female,1,0,4.2,6
55,Female,1,0,4.2,6
58,Female,1,0,4.2,6
67,Male,9,17,4.2,6
67,Male,9,13,4.2,3
67,Male,9,7,4.2,3
,Female,9,17,4.2,6
,Female,9,13,4.2,3
,Female,9,7,4.2,3
29,Female,9,17,4.2,6
29,Female,9,13,4.2,3
29,Female,9,7,4.2,3
35,Male,9,17,4.2,6
35,Male,9,13,4.2,3
35,Male,9,7,4.2,3
30,Female,9,17,4.2,6
30,Female,9,13,4.2,3
30,Female,9,7,4.2,3
55,Female,9,17,4.2,6
55,Female,9,13,4.2,3
55,Female,9,7,4.2,3
58,Female,9,17,4.2,6
58,Female,9,13,4.2,3
58,Female,9,7,4.2,3
38,Female,2,3,3.6,6
41,Male,2,3,3.6,6
67,Female,2,3,3.6,6
38,Female,3,12,3.6,3
41,Male,3,12,3.6,3
67,Female,3,12,3.6,3
26,Female,3,0,4.8,6
29,Male,3,0,4.8,6
25,Female,3,0,4.8,6
89,Female,3,0,4.8,6
21,Male,3,0,4.8,6
28,Male,3,0,4.8,6
25,Male,3,0,4.8,6
51,Female,1,0,5,6
33,Male,4,2,3.3,3
31,Female,4,2,3.3,3
53,Female,4,2,3.3,3
,Female,4,2,3.3,3
58,Male,4,2,3.3,3
33,Male,6,14,3.3,3
33,Male,6,9,3.3,3
31,Female,6,14,3.3,3
31,Female,6,9,3.3,3
53,Female,6,14,3.3,3
53,Female,6,9,3.3,3
,Female,6,14,3.3,3
,Female,6,9,3.3,3
58,Male,6,14,3.3,3
58,Male,6,9,3.3,3
27,Female,2,0,,3
28,Female,1,0,,3
32,Male,1,0,,3
28,Female,2,2,,1
28,Female,2,1,,3
32,Male,2,2,,1
26,Male,2,0,5,6
32,Female,2,0,5,6
28,Male,2,1,,1
27,Female,2,1,,1
41,Male,2,0,,1
50,Female,6,5,5,3
74,Male,6,5,5,3
20,Female,6,5,5,3
65,Female,6,5,5,3
18,Male,1,0,,1
29,Female,2,1,5,1
30,Female,2,1,,1
58,Female,2,1,,1
37,Female,1,1,4,3
37,Female,1,0,4,3
42,Male,1,1,4,3
42,Male,1,0,4,3
38,Male,1,1,4,3
38,Male,1,0,4,3
26,Female,4,2,5,1
,Female,4,2,5,1
35,Male,4,2,5,1
31,Male,2,1,,3
22,Female,2,0,,1
,Female,3,2,4.3,1
31,Female,3,2,4.3,1
21,Male,3,2,4.3,1
24,Female,1,0,4,3
27,Male,1,0,4,3
64,Female,1,2,3.9,3
36,Male,1,2,3.9,3
,Male,1,2,3.9,3
,Female,1,2,3.9,3
35,Female,1,2,3.9,3
70,Male,1,2,3.9,3
64,Female,2,6,3.9,3
36,Male,2,6,3.9,3
,Male,2,6,3.9,3
,Female,2,6,3.9,3
35,Female,2,6,3.9,3
70,Male,2,6,3.9,3
64,Female,5,14,3.9,1
36,Male,5,14,3.9,1
,Male,5,14,3.9,1
,Female,5,14,3.9,1
35,Female,5,14,3.9,1
70,Male,5,14,3.9,1
29,Male,2,0,,6
26,Male,1,1,4.5,6
,Female,3,1,4,6
38,Male,3,1,4,6
39,Female,3,1,4,6
35,Male,2,0,4.5,3
34,Female,2,0,4.5,3
,Male,2,0,4.5,3
35,Male,5,4,4.5,3
34,Female,5,4,4.5,3
,Male,5,4,4.5,3
32,Female,1,1,3.7,6
31,Male,1,1,3.7,6
32,Female,3,14,3.7,1
31,Male,3,14,3.7,1
25,Female,2,3,3,3
25,Male,2,3,3,3
27,Male,1,0,,1
24,Female,1,0,,1
24,Female,2,2,,3
23,Male,2,2,,3
,Female,2,2,,3
23,Male,1,0,,1
28,Male,3,0,4,6
29,Female,3,0,4,6
27,Male,2,4,5,3
33,Male,1,0,,6
58,Female,1,0,,6
31,Female,2,2,4.6,3
,Male,2,2,4.6,3
33,Male,2,2,4.6,3
31,Male,2,2,4.6,3
37,Female,2,0,,6
31,Male,2,0,,6
,Male,2,0,,6
24,Female,2,0,,6
42,Female,2,0,,6
37,Male,2,0,,6
,Female,2,0,,6
18,Male,2,0,,6
37,Female,6,6,,6
31,Male,6,6,,6
,Male,6,6,,6
24,Female,6,6,,6
42,Female,6,6,,6
37,Male,6,6,,6
,Female,6,6,,6
18,Male,6,6,,6
19,Male,4,0,,1
,Female,2,0,,3
36,Male,2,0,,3
24,Female,3,0,5,3
18,Male,3,0,5,3
57,Male,3,0,5,3
27,Female,3,0,5,3
34,Male,1,0,5,6
37,Female,2,1,,1
37,Male,2,1,,1
30,Female,3,0,,1
,Male,3,1,5,1
38,Male,3,1,5,1
68,Female,2,1,5,6
74,Male,2,1,5,6
48,Female,2,1,5,6
68,Female,6,4,5,3
74,Male,6,4,5,3
48,Female,6,4,5,3
23,Male,1,2,5,3
23,Male,1,0,5,3
50,Female,1,2,5,3
50,Female,1,0,5,3
20,Male,3,3,,1
50,Female,3,3,,1
32,Male,2,0,3,3
48,Male,1,1,,3
48,Male,4,1,,1
46,Female,4,1,,1
12,Male,4,1,,1
,Female,3,1,,3
23,Female,3,1,,3
31,Male,3,1,,3
28,Male,1,1,,3
30,Male,1,0,4,6
36,Male,1,0,5,6
29,Male,2,0,5,6
25,Female,2,1,4,1
24,Male,2,1,4,1
28,Female,5,14,4.8,6
53,Male,5,14,4.8,6
30,Female,5,14,4.8,6
45,Male,5,14,4.8,6
27,Female,5,14,4.8,6
22,Male,1,5,,1
22,Male,1,0,,3
38,Male,4,3,3.7,6
49,Male,2,0,,1
25,Male,1,0,4,1
43,Male,2,1,4.8,6
36,Female,2,1,4.8,6
14,Male,2,1,4.8,6
43,Male,3,8,4.8,6
36,Female,3,8,4.8,6
14,Male,3,8,4.8,6
30,Female,3,1,5,1
,Female,3,1,5,1
34,Female,3,1,5,1
26,Female,2,0,5,6
,Male,2,0,,3
11,Female,4,1,4.7,3
,Female,4,1,4.7,3
74,Male,4,1,4.7,3
35,Female,4,1,4.7,3
38,Male,1,0,,1
38,Male,1,1,2,3
62,Male,3,0,,1
55,Female,3,0,,1
20,Female,3,0,,1
30,Male,3,0,,1
25,Male,2,6,,1
45,Female,2,6,,1
25,Male,1,4,4.1,1
25,Male,1,1,4.1,3
26,Female,1,1,,1
43,Male,1,2,,1
30,Female,1,2,,1
60,Male,1,2,,1
36,Male,1,8,4.4,1
36,Male,1,3,4.4,6
36,Male,1,0,4.4,3
19,Female,3,0,,3
29,Male,3,0,,3
54,Female,3,0,,3
36,Male,1,1,4,1
23,Female,3,0,2.5,1
59,Male,1,1,,1
33,Male,1,1,,1
14,Male,1,0,3,1
31,Male,1,0,3,1
21,Male,1,0,3,1
42,Male,2,1,,3
36,Female,1,2,,1
26,Female,2,4,5,1
,Female,2,4,5,1
21,Female,3,0,,1
26,Male,3,0,,1
36,Female,1,0,,3
39,Female,2,0,,1
27,Male,3,0,5,3
27,Male,6,2,5,3
28,Female,3,2,,1
33,Male,3,2,,1
57,Female,3,2,,1
48,Female,2,2,,1
24,Female,2,2,,1
17,Female,2,2,,1
52,Male,2,2,,1
,Male,4,1,3.7,3
35,Female,4,1,3.7,3
35,Male,4,1,3.7,3
58,Male,4,1,3.7,3
40,Female,4,1,3.7,3
61,Male,4,1,3.7,3
72,Female,4,1,3.7,3
,Male,7,11,3.7,3
35,Female,7,11,3.7,3
35,Male,7,11,3.7,3
58,Male,7,11,3.7,3
40,Female,7,11,3.7,3
61,Male,7,11,3.7,3
72,Female,7,11,3.7,3
23,Male,2,0,,1
28,Male,2,0,,1
85,Male,4,7,5,1
25,Male,4,7,5,1
23,Female,1,2,5,3
,Female,3,6,5,1
33,Female,3,6,5,1
25,Male,3,13,4,6
21,Male,3,13,4,6
54,Female,3,13,4,6
55,Male,3,13,4,6
24,Male,1,0,,3
,Male,5,3,5,1
27,Female,2,0,,1
29,Female,2,0,,1
55,Female,2,0,,1
35,Female,1,1,4,1
25,Male,1,0,,1
29,Female,1,0,,1
24,Male,1,0,4.5,3
35,Female,2,1,3.5,3
68,Female,2,1,3.5,3
69,Male,2,1,3.5,3
39,Male,2,1,3.5,3
,Male,2,1,3.5,3
35,Female,5,4,3.5,1
68,Female,5,4,3.5,1
69,Male,5,4,3.5,1
39,Male,5,4,3.5,1
,Male,5,4,3.5,1
28,Male,1,1,4.8,3
54,Female,1,1,4.8,3
33,Female,1,1,4.8,3
60,Male,1,0,4.7,3
64,Female,1,0,4.7,3
60,Male,5,3,4.7,3
64,Female,5,3,4.7,3
41,Male,1,0,,3
54,Male,3,1,,3
51,Female,3,1,,3
33,Female,3,4,,3
35,Male,3,4,,3
,Female,3,4,,3
25,Female,3,3,5,3
,Female,3,3,5,3
29,Male,3,3,5,3
30,Male,3,3,5,3
28,Female,3,3,5,3
25,Female,5,11,5,1
,Female,5,11,5,1
29,Male,5,11,5,1
30,Male,5,11,5,1
28,Female,5,11,5,1
30,Female,2,2,5,1
,Male,2,2,5,1
34,Male,1,1,,3
26,Female,1,1,,3
28,Female,1,1,4.7,3
28,Male,1,1,5,6
36,Female,3,2,3.7,6
40,Male,1,2,,1
28,Male,3,4,5,1
60,Male,3,4,5,1
50,Female,3,4,5,1
,Male,1,1,3.6,3
38,Female,1,1,3.6,3
38,Male,1,1,3.6,3
